no,size,pom,description,spoken_as,heard,spec,measured,deviation,tol_minus,tol_plus,verdict,confidence,note
59,M,4.14A,FRONT RISE STRAIGHT TO TOP WAIST,Front rise straight to top waist,10 3/4,10 3/4,10 3/4,,-1/4,+1/4,UNCONFIRMED,1.00,
60,M,4.15A,BACK RISE STRAIGHT TO TOP WAIST,Back rise straight to top waist,16,16,15 3/4,-1/4,-1/4,+1/4,pass,1.00,
61,M,5.08C,SHORT LEG OPENING,Short leg opening,30,30,29 3/4,-1/4,-3/8,+3/8,pass,1.00,
62,M,5.01A,INSEAM SHORT,Inseam short,2 1/2,2 1/2,2 1/2,ok,-1/4,+1/4,pass,1.00,
63,M,5.02A,OUTSEAM FROM TOP WAIST,Outseam from top waist,11 3/8,11 3/8,11 3/8,,-1/4,+1/4,UNCONFIRMED,1.00,
64,M,7.01A GR,FLY/J-STITCH LENGTH BELOW WAIST SEAM,Fly J-stitch length below waist seam,5 1/4,5 1/4,5 1/4,ok,-1/4,+1/4,pass,0.95,
65,M,7.01B,FLY /J-STITCH WIDTH,Fly J-stitch width,1 1/8,1 1/8,1 1/8,ok,-1/8,+1/8,pass,1.00,
66,M,4.27A,HEM HEIGHT,Hem height,1/2,1/2,1/2,ok,-1/8,+1/8,pass,1.00,
67,M,*,"FRT LEG DEPTH 3"" FRM CF (TOP EDGE) RELAXED",Front leg depth from center front top edge relaxed,11 5/8,11 5/8,11 1/2,-1/8,-1/8,+1/8,pass,1.00,
68,M,*,"BK LEG DEPTH 3"" FRM CB (TOP EDGE) RELAXED",Back leg depth from center back top edge relaxed,12 7/8,12 7/8,12 7/8,,-1/8,+1/8,UNCONFIRMED,0.68,1/8 was mentioned without a clear sign
69,M,*,"SADDLE WIDTH 2"" UP FRM CROTCH - REF PT FOR NY TECH",Saddle width two inches up from crotch,8 1/2,8 1/2,8 1/2,,-1/8,+1/8,UNCONFIRMED,1.00,
70,M,*,BUTTON SPACE ON FLY FRONT,Button space on fly front,2,2,2,ok,-1/8,+1/8,pass,1.00,
71,M,7.04B,BUTTON POSITION FROM WAIST STITCH,Button position from waist seam,1 1/4,1 1/4,1 1/4,,-1/8,+1/8,UNCONFIRMED,0.74,Following reference to 1/8 was garbled and had no clear sign
72,M,6.05B,ON SEAM POCKET HEM HEIGHT,On-seam pocket hem height,1/4,1/4,1/4,,-1/8,+1/8,UNCONFIRMED,0.90,
73,M,6.54A,POCKET POSITION FROM BELOW WAIST STITCH,Pocket position from below waist seam,1,1,1,ok,-1/8,+1/8,pass,1.00,
74,M,6.17A GR,POCKET BAG LENGTH,Pocket bag length,9,9,8 3/4,-1/4,-1/4,+1/4,pass,1.00,
75,M,6.17B GR,POCKET BAG WIDTH,Pocket bag width,6 1/2,6 1/2,6 1/2,ok,-1/4,+1/4,pass,1.00,
