no,size,pom,description,spoken_as,spec,measured,deviation,tol_minus,tol_plus,verdict,confidence,note
41,S,2.04A,BACK NECK DROP FROM HPS TO SEAM,Back neck drop from HPS to C,3/4,3/4,0,-1/8,+1/8,pass,0.62,Initially called okay; later stated 1/8 deviation
42,S,2.05C,BACK NECK WIDTH SEAM TO SEAM,Back neck width seam to seam,6 1/4,5 3/4,-1/2,-1/4,+1/4,FAIL,0.55,Initially stated -1/8; later stated 1/8 without a clear sign
43,S,2.09A,NECKBAND HEIGHT AT CB,Neck band height at center,1 1/8,1 1/8,0,-1/8,+1/8,pass,0.95,Okay
44,S,2.11A,COLLAR POINT,Collar point,2 1/4,2 1/4,0,-1/8,+1/8,pass,0.69,Word order was unclear
45,S,2.08C,COLLAR LENGTH AT OUTER EDGE,Collar length at outer edge,17,15 3/4,-1 1/4,-1/4,+1/4,FAIL,1.00,
46,S,9.01B,LOCKER LOOP WIDTH,Locker loop width,3/8,3/8,0,-1/8,+1/8,pass,1.00,
47,S,9.01C,LOCKER LOOP SPREAD,Locker loop grade,2,2,0,-1/8,+1/8,pass,0.94,Okay
48,S,2.10A,COLLAR HEIGHT AT CB,Collar height at center back,2,2,0,-1/8,+1/8,pass,1.00,Okay
49,S,2.18A,CENTER FRONT PLACKET WIDTH,Center front placket,1,1,0,0,0,unjudged,1.00,Okay
50,S,7.04B,BUTTON POSITION FROM BOTTOM EDGE,"Button position from neck, first button",4 1/4,3,-1 1/4,-1/8,+1/8,FAIL,0.92,Deviation not stated
51,S,6.16A,POCKET HEM HEIGHT,Button position from bottom edge,3/4,1/4,-1/2,-1/8,+1/8,FAIL,1.00,Okay
52,S,6.50C GR,CHEST POCKET POSITION FROM CF,Center back yoke box pleat width,1 3/4,1 1/2,-1/4,-1/8,+1/8,FAIL,0.94,Deviation not stated
53,S,,,Chest pocket length at center,,5 1/4,,,,unmatched,0.95,Deviation not stated
54,S,,,Pocket position,,8 3/4,,,,unmatched,0.69,Okay; reference point was unclear
55,S,,,Pocket position from center front,,1 1/8,,,,unmatched,0.80,Deviation was not completed
