no,size,pom,description,spoken_as,spec,measured,deviation,tol_minus,tol_plus,verdict,confidence,note
28,S,3.24C,SLEEVE PLACKET WIDTH,Placket width,3/4,3/4,0,-1/8,+1/8,pass,1.00,
29,S,2.03A,FRONT NECK DROP FROM HPS TO SEAM,Front neck drop from HPS,4,3,-1,-1/8,+1/8,FAIL,0.90,
30,S,2.04A,BACK NECK DROP FROM HPS TO SEAM,Back neck drop from HPS to C,3/4,3/4,0,-1/8,+1/8,pass,0.60,Initially called okay; later reconfirmed as 1/8 deviation
31,S,2.05C,BACK NECK WIDTH SEAM TO SEAM,Back neck width seam to seam,6 1/4,5 3/4,-1/2,-1/4,+1/4,FAIL,0.55,Initially called minus 1/8; later stated 1/8 without direction
32,S,2.09A,NECKBAND HEIGHT AT CB,Neck band height at center,1 1/8,1 1/8,0,-1/8,+1/8,pass,1.00,
33,S,2.11A,COLLAR POINT,Collar point,2 1/4,2 1/4,0,-1/8,+1/8,pass,0.75,Wording around tolerance was garbled
34,S,2.08C,COLLAR LENGTH AT OUTER EDGE,Collar length at outer edge,17,15 3/4,-1 1/4,-1/4,+1/4,FAIL,1.00,
35,S,9.01B,LOCKER LOOP WIDTH,Locker loop width,3/8,3/8,0,-1/8,+1/8,pass,1.00,
36,S,9.01C,LOCKER LOOP SPREAD,Locker loop grade,2,2,0,-1/8,+1/8,pass,0.90,
37,S,2.10A,COLLAR HEIGHT AT CB,Collar height at center back,2,2,0,-1/8,+1/8,pass,1.00,
38,S,2.18A,CENTER FRONT PLACKET WIDTH,Center front placket,1,1,0,0,0,unjudged,1.00,
39,S,7.04B,BUTTON POSITION FROM BOTTOM EDGE,"Button position from neck, first button",4 1/4,3,-1 1/4,-1/8,+1/8,FAIL,0.90,Deviation not stated
40,S,6.16A,POCKET HEM HEIGHT,Button position from bottom edge,3/4,1/4,-1/2,-1/8,+1/8,FAIL,1.00,
41,S,6.50A GR,CHEST POCKET POSITION FROM HPS,Center back yoke box pleat width,9 1/4,1/2,-8 3/4,-1/8,+1/8,FAIL,0.90,Deviation not stated
42,S,6.50C GR,CHEST POCKET POSITION FROM CF,Chest pocket length at center,1 3/4,5 1/4,+3 1/2,-1/8,+1/8,FAIL,0.90,Deviation not stated
43,S,,,Pocket position,,8 3/4,,,,unmatched,0.65,Reference point was unclear; deviation called okay
44,S,,,Pocket position from center front,,1 1/8,,,,unmatched,0.80,Recording ends before deviation is confirmed
