no,size,pom,description,spoken_as,heard,spec,measured,deviation,tol_minus,tol_plus,verdict,confidence,note
36,S,3.19A,SLEEVE OPENING (L/S) @ EDGE,"Sleeve opening, L oblique S at H",8 1/2,9 1/2,9 1/2,ok,-1/4,+1/4,pass,0.85,
37,S,3.22A,SLEEVE CUFF HEIGHT,Sleeve cuff height,2 1/2,2 1/2,2 1/2,ok,-1/8,+1/8,pass,1.00,
38,S,3.24A,SLEEVE PLACKET OPENING LENGTH,Sleeve placket opening length,4 1/2,4 1/2,4 3/8,-1/8,-1/8,+1/8,pass,1.00,
39,S,3.24C,SLEEVE PLACKET WIDTH,Placket width,3/4,3/4,3/4,ok,-1/8,+1/8,pass,1.00,
40,S,2.03A,FRONT NECK DROP FROM HPS TO SEAM,Front neck drop from HPS,3,4,5,+1,-1/8,+1/8,FAIL,0.90,
41,S,2.04A,BACK NECK DROP FROM HPS TO SEAM,Back neck drop from HPS to C,3/4,3/4,7/8,+1/8,-1/8,+1/8,pass,0.65,Initially called okay; later repeated with one by eight deviation
42,S,2.05C,BACK NECK WIDTH SEAM TO SEAM,Back neck width seam to seam,5 3/4,6 1/4,6 3/8,+1/8,-1/4,+1/4,pass,0.60,Initially called minus one by eight; later repeated as one by eight
43,S,2.09A,NECKBAND HEIGHT AT CB,Neck band height at center,1 1/8,1 1/8,1 1/8,ok,-1/8,+1/8,pass,1.00,
44,S,2.11A,COLLAR POINT,Collar point,2 1/4,2 1/4,2 1/8,-1/8,-1/8,+1/8,pass,0.90,
45,S,2.08C,COLLAR LENGTH AT OUTER EDGE,Collar length at outer edge,15 3/4,17,16 3/4,-1/4,-1/4,+1/4,pass,1.00,
46,S,9.01B,LOCKER LOOP WIDTH,Locker loop width,3/8,3/8,1/4,-1/8,-1/8,+1/8,pass,1.00,
47,S,9.01C,LOCKER LOOP SPREAD,Locker loop grade,2,2,2,ok,-1/8,+1/8,pass,0.85,
48,S,2.10A,COLLAR HEIGHT AT CB,Collar height at center back,2,2,2,ok,-1/8,+1/8,pass,1.00,
49,S,2.18A,CENTER FRONT PLACKET WIDTH,Center front placket,1,1,1,ok,0,0,unjudged,1.00,
50,S,*,BUTTON POSITION FRM NK SM TO 1ST BTN,"Button position from neck, first button",3,3 1/4,3 1/4,ok,-1/8,+1/8,pass,0.90,Deviation not stated
51,S,7.04B,BUTTON POSITION FROM BOTTOM EDGE,Button position from bottom edge,1/4,4 1/4,4 1/4,ok,-1/8,+1/8,pass,1.00,
52,S,2.20B,CB YOKE BOX PLEAT WIDTH,Center back yoke box pleat width,1 1/2,1 1/2,1 1/2,ok,-1/8,+1/8,pass,0.90,Deviation not stated
53,S,6.01A GR,CHEST POCKET LENGTH AT CENTER,Chest pocket length at center,5 1/4,5 1/2,5 1/2,ok,-1/8,+1/8,pass,0.90,Deviation not stated
54,S,6.50A GR,CHEST POCKET POSITION FROM HPS,Pocket position from center,8 3/4,9 1/4,9 1/4,ok,-1/8,+1/8,pass,0.85,
55,S,6.50C GR,CHEST POCKET POSITION FROM CF,Position from center front,1 1/8,1 3/4,1 3/4,ok,-1/8,+1/8,pass,0.70,Speech ended before deviation was completed
